,shortcode,post_type,username,like,comment,object_1,object_2,object_3,object_4,object_5,object_6,object,id,category_name,follower,following,ar_effect,type_business,type_professional,verified,reel_count,reel_avg_view,reel_avg_comment,reel_avg_like,reel_avg_duration,reel_frequency,media_count,media_avg_comment,media_avg_like,media_frequency
932,CrcTw0DJcWr,GraphSidecar,koreadispatch,23342,42,1 person,poster,text,No Object,No Object,No Object,monitor,1122852601,Community,12480323,7,False,True,True,True,3962,276641.9167,237.5833333,72363.0,304.4209167,17.05519056,40763,1574.333333,185781.0,0.067083333
933,CrcD6I2vuwm,GraphSidecar,koreadispatch,163277,562,1 person,text,No Object,No Object,No Object,No Object,sweatshirt,1122852601,Community,12480323,7,False,True,True,True,3962,276641.9167,237.5833333,72363.0,304.4209167,17.05519056,40763,1574.333333,185781.0,0.067083333
934,Cra4-nHLvpT,GraphSidecar,koreadispatch,435363,1039,2 people,poster,text,No Object,No Object,No Object,"suit, suit_of_clothes",1122852601,Community,12480323,7,False,True,True,True,3962,276641.9167,237.5833333,72363.0,304.4209167,17.05519056,40763,1574.333333,185781.0,0.067083333
935,Cra4D_syuOz,GraphSidecar,koreadispatch,814028,12280,2 people,bangs,poster,magazine,text,No Object,"web_site, website, internet_site, site",1122852601,Community,12480323,7,False,True,True,True,3962,276641.9167,237.5833333,72363.0,304.4209167,17.05519056,40763,1574.333333,185781.0,0.067083333
936,CraYixIpjx1,GraphSidecar,koreadispatch,36337,35,1 person,hair,makeup,poster,text,No Object,"lighter, light, igniter, ignitor",1122852601,Community,12480323,7,False,True,True,True,3962,276641.9167,237.5833333,72363.0,304.4209167,17.05519056,40763,1574.333333,185781.0,0.067083333
937,Cra4ROQLOdY,GraphImage,vicidolls,2130,14,3 people,dress,sundress,No Object,No Object,No Object,sarong,180686976,Clothing (Brand),1815032,1735,False,True,True,True,105,13271.0,123.0,594.8333333,9.463666667,2.060141038,53992,14.25,1631.75,-0.011114089
938,Cra2Z70rKui,GraphSidecar,vicidolls,2684,21,1 person,sundress,dress,No Object,No Object,No Object,overskirt,180686976,Clothing (Brand),1815032,1735,False,True,True,True,105,13271.0,123.0,594.8333333,9.463666667,2.060141038,53992,14.25,1631.75,-0.011114089
939,Cra1UTjLS62,GraphImage,vicidolls,1470,17,3 people,dress,jumpsuit,No Object,No Object,No Object,wig,180686976,Clothing (Brand),1815032,1735,False,True,True,True,105,13271.0,123.0,594.8333333,9.463666667,2.060141038,53992,14.25,1631.75,-0.011114089
940,Crb8V4QvYG8,GraphSidecar,vicidolls,376,14,1 person,hat,crochet,No Object,No Object,No Object,"cowboy_hat, ten-gallon_hat",180686976,Clothing (Brand),1815032,1735,False,True,True,True,105,13271.0,123.0,594.8333333,9.463666667,2.060141038,53992,14.25,1631.75,-0.011114089
941,Crb6aRpPIyM,GraphImage,vicidolls,1457,9,1 person,dress,jumpsuit,halter top,sundress,No Object,sarong,180686976,Clothing (Brand),1815032,1735,False,True,True,True,105,13271.0,123.0,594.8333333,9.463666667,2.060141038,53992,14.25,1631.75,-0.011114089
942,Crb45zRvHoP,GraphImage,vicidolls,815,1,2 people,dress,sundress,No Object,No Object,No Object,"miniskirt, mini",180686976,Clothing (Brand),1815032,1735,False,True,True,True,105,13271.0,123.0,594.8333333,9.463666667,2.060141038,53992,14.25,1631.75,-0.011114089
943,Crb3BNHvhhT,GraphSidecar,vicidolls,1257,3,1 person,purse,drawstring,sundress,No Object,No Object,stole,180686976,Clothing (Brand),1815032,1735,False,True,True,True,105,13271.0,123.0,594.8333333,9.463666667,2.060141038,53992,14.25,1631.75,-0.011114089
944,CrbijZvv3vm,GraphImage,vicidolls,833,3,1 person,sunglasses,knit,crochet,top,No Object,sweatshirt,180686976,Clothing (Brand),1815032,1735,False,True,True,True,105,13271.0,123.0,594.8333333,9.463666667,2.060141038,53992,14.25,1631.75,-0.011114089
945,CrbbYwFPC_i,GraphImage,vicidolls,2916,17,2 people,skirt,miniskirt,dress,sundress,No Object,sarong,180686976,Clothing (Brand),1815032,1735,False,True,True,True,105,13271.0,123.0,594.8333333,9.463666667,2.060141038,53992,14.25,1631.75,-0.011114089
946,CrbTPjAJTfn,GraphSidecar,vicidolls,1146,9,1 person,dress,sundress,No Object,No Object,No Object,gown,180686976,Clothing (Brand),1815032,1735,False,True,True,True,105,13271.0,123.0,594.8333333,9.463666667,2.060141038,53992,14.25,1631.75,-0.011114089
947,CrbMarUriKY,GraphImage,vicidolls,3302,35,3 people,jumpsuit,drawstring,No Object,No Object,No Object,maillot,180686976,Clothing (Brand),1815032,1735,False,True,True,True,105,13271.0,123.0,594.8333333,9.463666667,2.060141038,53992,14.25,1631.75,-0.011114089
948,Crcd7oNsmQ4,GraphImage,wwe,95257,537,2 people,poster,text,No Object,No Object,No Object,"book_jacket, dust_cover, dust_jacket, dust_wrapper",45145019,Sports league,28005186,297,True,True,True,True,8380,372667.8333,602.9166667,57921.58333,1510.00075,22.99252745,40452,1692.416667,141522.8333,0.009799189
949,CrdEeeHIuqB,GraphImage,emaratalyoum,89,11,1 person,pie,text,No Object,No Object,No Object,"web_site, website, internet_site, site",340922547,Unknown,679473,77,False,True,True,True,9557,9529.25,20.83333333,307.6666667,76.09741667,1.322359208,43634,52.75,503.75,0.066298445
950,Crcvm7gNKL_,GraphImage,emaratalyoum,213,47,4 people,people playing football,people playing soccer,text,No Object,No Object,"web_site, website, internet_site, site",340922547,Unknown,679473,77,False,True,True,True,9557,9529.25,20.83333333,307.6666667,76.09741667,1.322359208,43634,52.75,503.75,0.066298445
951,CrcslX1NtIq,GraphImage,emaratalyoum,123,17,1 person,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",340922547,Unknown,679473,77,False,True,True,True,9557,9529.25,20.83333333,307.6666667,76.09741667,1.322359208,43634,52.75,503.75,0.066298445
952,CrcovoItNmA,GraphImage,emaratalyoum,142,22,4 people,text,No Object,No Object,No Object,No Object,"plunger, plumber's_helper",340922547,Unknown,679473,77,False,True,True,True,9557,9529.25,20.83333333,307.6666667,76.09741667,1.322359208,43634,52.75,503.75,0.066298445
953,Crch3qJtodB,GraphImage,emaratalyoum,240,16,money,plant,text,No Object,No Object,No Object,"candle, taper, wax_light",340922547,Unknown,679473,77,False,True,True,True,9557,9529.25,20.83333333,307.6666667,76.09741667,1.322359208,43634,52.75,503.75,0.066298445
954,CrcbAfRopCZ,GraphImage,emaratalyoum,273,23,screen,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",340922547,Unknown,679473,77,False,True,True,True,9557,9529.25,20.83333333,307.6666667,76.09741667,1.322359208,43634,52.75,503.75,0.066298445
955,CrbWQ_vJlU9,GraphImage,emaratalyoum,515,46,aircraft,text,No Object,No Object,No Object,No Object,airliner,340922547,Unknown,679473,77,False,True,True,True,9557,9529.25,20.83333333,307.6666667,76.09741667,1.322359208,43634,52.75,503.75,0.066298445
956,CrbMSayvgyt,GraphImage,emaratalyoum,1488,135,3 people,hospital,text,No Object,No Object,No Object,"web_site, website, internet_site, site",340922547,Unknown,679473,77,False,True,True,True,9557,9529.25,20.83333333,307.6666667,76.09741667,1.322359208,43634,52.75,503.75,0.066298445
957,Crc4eMOrO0A,GraphSidecar,sonytvofficial,260,18,1 person,poster,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",1657277253,Unknown,3437338,108,True,True,True,True,31896,25967.5,33.66666667,2646.5,56.25633333,0.098419725,45772,33.83333333,1245.0,-0.094598959
958,Crc4a8jr2rX,GraphSidecar,sonytvofficial,279,12,1 person,poster,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",1657277253,Unknown,3437338,108,True,True,True,True,31896,25967.5,33.66666667,2646.5,56.25633333,0.098419725,45772,33.83333333,1245.0,-0.094598959
959,Crc4XeQL_iA,GraphSidecar,sonytvofficial,458,22,1 person,dancing,poster,No Object,No Object,No Object,"web_site, website, internet_site, site",1657277253,Unknown,3437338,108,True,True,True,True,31896,25967.5,33.66666667,2646.5,56.25633333,0.098419725,45772,33.83333333,1245.0,-0.094598959
960,Crc4S-jrJMF,GraphSidecar,sonytvofficial,258,23,1 person,poster,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",1657277253,Unknown,3437338,108,True,True,True,True,31896,25967.5,33.66666667,2646.5,56.25633333,0.098419725,45772,33.83333333,1245.0,-0.094598959
961,Crb3f8nP-PE,GraphImage,ayahlyfans,1101,4,2 people,people playing football,people playing soccer,No Object,No Object,No Object,"web_site, website, internet_site, site",1943340757,Athlete,481677,74,False,False,True,False,1850,49473.66667,51.5,4453.666667,71.18583333,6.621631944,40888,19.5,2398.333333,0.180747188
962,CrbGvAtLyrq,GraphImage,ayahlyfans,1903,5,1 person,playing soccer,playing football,stadium,No Object,No Object,"shield, buckler",1943340757,Athlete,481677,74,False,False,True,False,1850,49473.66667,51.5,4453.666667,71.18583333,6.621631944,40888,19.5,2398.333333,0.180747188
963,CrbAXvrrvb6,GraphImage,ayahlyfans,766,1,4 people,people playing football,people playing soccer,text,No Object,No Object,"book_jacket, dust_cover, dust_jacket, dust_wrapper",1943340757,Athlete,481677,74,False,False,True,False,1850,49473.66667,51.5,4453.666667,71.18583333,6.621631944,40888,19.5,2398.333333,0.180747188
964,CraXloAuONX,GraphImage,ayahlyfans,186,8,No Object,No Object,No Object,No Object,No Object,No Object,analog_clock,1943340757,Athlete,481677,74,False,False,True,False,1850,49473.66667,51.5,4453.666667,71.18583333,6.621631944,40888,19.5,2398.333333,0.180747188
965,CrZVF0kvixB,GraphImage,ayahlyfans,979,8,3 people,people playing football,people playing soccer,sports equipment,No Object,No Object,sarong,1943340757,Athlete,481677,74,False,False,True,False,1850,49473.66667,51.5,4453.666667,71.18583333,6.621631944,40888,19.5,2398.333333,0.180747188
966,CrZEtUAS1Ro,GraphImage,ayahlyfans,3312,5,1 person,playing football,playing soccer,ball,No Object,No Object,rugby_ball,1943340757,Athlete,481677,74,False,False,True,False,1850,49473.66667,51.5,4453.666667,71.18583333,6.621631944,40888,19.5,2398.333333,0.180747188
967,CrYTDLIrSSH,GraphImage,ayahlyfans,4220,6,3 people,people playing football,people playing soccer,text,No Object,No Object,"web_site, website, internet_site, site",1943340757,Athlete,481677,74,False,False,True,False,1850,49473.66667,51.5,4453.666667,71.18583333,6.621631944,40888,19.5,2398.333333,0.180747188
968,CrXxVN-u9yU,GraphImage,ayahlyfans,4866,86,one or more people,crowd,stadium,No Object,No Object,No Object,"maze, labyrinth",1943340757,Athlete,481677,74,False,False,True,False,1850,49473.66667,51.5,4453.666667,71.18583333,6.621631944,40888,19.5,2398.333333,0.180747188
969,CrXxAcwOXq1,GraphImage,ayahlyfans,202,14,No Object,No Object,No Object,No Object,No Object,No Object,envelope,1943340757,Athlete,481677,74,False,False,True,False,1850,49473.66667,51.5,4453.666667,71.18583333,6.621631944,40888,19.5,2398.333333,0.180747188
970,CrXnFBZuh18,GraphImage,ayahlyfans,2328,2,2 people,people playing football,people playing soccer,No Object,No Object,No Object,maillot,1943340757,Athlete,481677,74,False,False,True,False,1850,49473.66667,51.5,4453.666667,71.18583333,6.621631944,40888,19.5,2398.333333,0.180747188
971,CrWv2Z4vetQ,GraphImage,ayahlyfans,2077,3,4 people,people playing football,people playing soccer,ball,No Object,No Object,"racket, racquet",1943340757,Athlete,481677,74,False,False,True,False,1850,49473.66667,51.5,4453.666667,71.18583333,6.621631944,40888,19.5,2398.333333,0.180747188
972,CrcfW0pr1XC,GraphImage,keaw_jung,5803,83,2 people,indoors,No Object,No Object,No Object,No Object,"restaurant, eating_house, eating_place, eatery",29843797,Unknown,1658545,254,False,False,False,False,3268,17191.25,22.58333333,1849.416667,2011.891,12.21770213,40653,19.41666667,1782.416667,0.187905093
973,CrZ66yQr9ib,GraphImage,keaw_jung,849,36,temple,statue,No Object,No Object,No Object,No Object,throne,29843797,Unknown,1658545,254,False,False,False,False,3268,17191.25,22.58333333,1849.416667,2011.891,12.21770213,40653,19.41666667,1782.416667,0.187905093
974,CrYlClKhFRS,GraphSidecar,keaw_jung,560,2,2 people,barong,wedding,No Object,No Object,No Object,"crib, cot",29843797,Unknown,1658545,254,False,False,False,False,3268,17191.25,22.58333333,1849.416667,2011.891,12.21770213,40653,19.41666667,1782.416667,0.187905093
975,CrYjhdgh2Zy,GraphImage,keaw_jung,1055,3,2 people,dinner jacket,wedding,No Object,No Object,No Object,library,29843797,Unknown,1658545,254,False,False,False,False,3268,17191.25,22.58333333,1849.416667,2011.891,12.21770213,40653,19.41666667,1782.416667,0.187905093
976,CrX8pvbhJgP,GraphImage,keaw_jung,2308,15,4 people,tree,No Object,No Object,No Object,No Object,"lakeside, lakeshore",29843797,Unknown,1658545,254,False,False,False,False,3268,17191.25,22.58333333,1849.416667,2011.891,12.21770213,40653,19.41666667,1782.416667,0.187905093
977,CrXfo93rb3S,GraphSidecar,keaw_jung,706,6,6 people,cake,No Object,No Object,No Object,No Object,tray,29843797,Unknown,1658545,254,False,False,False,False,3268,17191.25,22.58333333,1849.416667,2011.891,12.21770213,40653,19.41666667,1782.416667,0.187905093
978,CrXOAM8hvcu,GraphSidecar,keaw_jung,732,2,shrimp,pasta,prawn,shellfish,No Object,No Object,pretzel,29843797,Unknown,1658545,254,False,False,False,False,3268,17191.25,22.58333333,1849.416667,2011.891,12.21770213,40653,19.41666667,1782.416667,0.187905093
979,CrclV94s-_J,GraphImage,djkhaled,3592,101,2 people,people playing basketball,ball,scoreboard,backboard,text,basketball,17978002,Musician/band,33993304,5408,True,True,True,True,12370,1069821.25,2250.666667,177654.6667,476.3185833,18.25931713,39029,676.3333333,30925.91667,-0.092310517
980,Crb8TGBrs6W,GraphSidecar,djkhaled,21594,317,4 people,cabana,No Object,No Object,No Object,No Object,"restaurant, eating_house, eating_place, eatery",17978002,Musician/band,33993304,5408,True,True,True,True,12370,1069821.25,2250.666667,177654.6667,476.3185833,18.25931713,39029,676.3333333,30925.91667,-0.092310517
981,CrbjToVv18m,GraphSidecar,djkhaled,22025,336,1 person,golfing,digital watch,phone,No Object,No Object,sandal,17978002,Musician/band,33993304,5408,True,True,True,True,12370,1069821.25,2250.666667,177654.6667,476.3185833,18.25931713,39029,676.3333333,30925.91667,-0.092310517
982,CrZwRBorSpZ,GraphImage,djkhaled,5541,209,1 person,text,No Object,No Object,No Object,No Object,comic_book,17978002,Musician/band,33993304,5408,True,True,True,True,12370,1069821.25,2250.666667,177654.6667,476.3185833,18.25931713,39029,676.3333333,30925.91667,-0.092310517
983,CqnrrskJRKA,GraphSidecar,rap,187240,3102,1 person,magazine,poster,text,No Object,No Object,"web_site, website, internet_site, site",1459940668,Media/news company,11215099,1188,True,False,True,True,8010,701235.5,1133.5,153993.4167,24.51408333,0.733131447,39701,2265.0,92171.25,-1.8519022
984,CqL8q5Ur9Zd,GraphSidecar,rap,239205,7030,1 person,poster,magazine,No Object,No Object,No Object,bulletproof_vest,1459940668,Media/news company,11215099,1188,True,False,True,True,8010,701235.5,1133.5,153993.4167,24.51408333,0.733131447,39701,2265.0,92171.25,-1.8519022
985,CqJZUlmLIQT,GraphSidecar,rap,344340,11159,poster,text,No Object,No Object,No Object,No Object,jigsaw_puzzle,1459940668,Media/news company,11215099,1188,True,False,True,True,8010,701235.5,1133.5,153993.4167,24.51408333,0.733131447,39701,2265.0,92171.25,-1.8519022
986,CrdEDDjuOR5,GraphImage,rap,4770,138,2 people,racket,squash,text,No Object,No Object,comic_book,1459940668,Media/news company,11215099,1188,True,False,True,True,8010,701235.5,1133.5,153993.4167,24.51408333,0.733131447,39701,2265.0,92171.25,-1.8519022
987,CrcXFGeLQFs,GraphSidecar,rap,156427,1835,5 people,blower,text,No Object,No Object,No Object,basketball,1459940668,Media/news company,11215099,1188,True,False,True,True,8010,701235.5,1133.5,153993.4167,24.51408333,0.733131447,39701,2265.0,92171.25,-1.8519022
988,CrcW4nHMOZS,GraphSidecar,rap,52365,729,2 people,magazine,poster,text,No Object,No Object,comic_book,1459940668,Media/news company,11215099,1188,True,False,True,True,8010,701235.5,1133.5,153993.4167,24.51408333,0.733131447,39701,2265.0,92171.25,-1.8519022
989,CrcWRpdrmIO,GraphImage,rap,31098,1953,1 person,magazine,poster,No Object,No Object,No Object,chain,1459940668,Media/news company,11215099,1188,True,False,True,True,8010,701235.5,1133.5,153993.4167,24.51408333,0.733131447,39701,2265.0,92171.25,-1.8519022
990,CrcOh_CLs0x,GraphSidecar,rap,14400,331,1 person,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",1459940668,Media/news company,11215099,1188,True,False,True,True,8010,701235.5,1133.5,153993.4167,24.51408333,0.733131447,39701,2265.0,92171.25,-1.8519022
991,CrcLgTgpAx7,GraphSidecar,rap,37979,409,1 person,poster,magazine,text,No Object,No Object,"web_site, website, internet_site, site",1459940668,Media/news company,11215099,1188,True,False,True,True,8010,701235.5,1133.5,153993.4167,24.51408333,0.733131447,39701,2265.0,92171.25,-1.8519022
992,CrcItZ6pK32,GraphSidecar,rap,29526,191,1 person,magazine,text,No Object,No Object,No Object,"jersey, T-shirt, tee_shirt",1459940668,Media/news company,11215099,1188,True,False,True,True,8010,701235.5,1133.5,153993.4167,24.51408333,0.733131447,39701,2265.0,92171.25,-1.8519022
993,CrcyJehPL_A,GraphImage,alkhaleej.ae,51,0,No Object,No Object,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",1559194779,Media/news company,202153,8,False,True,True,True,17798,1515.083333,7.25,44.66666667,60.20633333,0.084291004,48510,7.083333333,36.66666667,0.018587135
994,CrcwDmUgbR_,GraphImage,alkhaleej.ae,160,36,No Object,No Object,No Object,No Object,No Object,No Object,"book_jacket, dust_cover, dust_jacket, dust_wrapper",1559194779,Media/news company,202153,8,False,True,True,True,17798,1515.083333,7.25,44.66666667,60.20633333,0.084291004,48510,7.083333333,36.66666667,0.018587135
995,CrcthsYtOm7,GraphImage,alkhaleej.ae,53,1,1 person,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",1559194779,Media/news company,202153,8,False,True,True,True,17798,1515.083333,7.25,44.66666667,60.20633333,0.084291004,48510,7.083333333,36.66666667,0.018587135
996,CrcrAQZMKNN,GraphSidecar,alkhaleej.ae,16,0,2 people,poster,newspaper,magazine,No Object,No Object,"web_site, website, internet_site, site",1559194779,Media/news company,202153,8,False,True,True,True,17798,1515.083333,7.25,44.66666667,60.20633333,0.084291004,48510,7.083333333,36.66666667,0.018587135
997,CrclS_EgShq,GraphImage,alkhaleej.ae,48,16,poster,pie,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",1559194779,Media/news company,202153,8,False,True,True,True,17798,1515.083333,7.25,44.66666667,60.20633333,0.084291004,48510,7.083333333,36.66666667,0.018587135
998,Crc5_UkMFcR,GraphSidecar,colorstv,1122,95,1 person,poster,text,No Object,No Object,No Object,"web_site, website, internet_site, site",396763356,Arts & entertainment,6815319,466,True,False,True,True,24050,100017.8333,208.9166667,11109.58333,74.69825,0.280309523,40506,188.9166667,13613.66667,-0.720396496
999,CrdGAlNts7N,GraphImage,khaleejtimes,110,3,telescope,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",464968565,Product/service,788228,145,False,True,True,True,6635,13032.16667,5.5,464.5833333,331.8541667,0.454539186,44904,9.333333333,933.8333333,0.067078207
1000,CrdESabtkC5,GraphImage,khaleejtimes,23,0,sail,boat,poster,text,No Object,No Object,"web_site, website, internet_site, site",464968565,Product/service,788228,145,False,True,True,True,6635,13032.16667,5.5,464.5833333,331.8541667,0.454539186,44904,9.333333333,933.8333333,0.067078207
1001,Crc2kT2t-eR,GraphImage,khaleejtimes,32,5,text,No Object,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",464968565,Product/service,788228,145,False,True,True,True,6635,13032.16667,5.5,464.5833333,331.8541667,0.454539186,44904,9.333333333,933.8333333,0.067078207
1002,CrcrOyCtoPx,GraphImage,khaleejtimes,79,3,crossword puzzle,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",464968565,Product/service,788228,145,False,True,True,True,6635,13032.16667,5.5,464.5833333,331.8541667,0.454539186,44904,9.333333333,933.8333333,0.067078207
1003,Crcro7rMV4e,GraphImage,khaleejtimes,429,5,1 person,text,No Object,No Object,No Object,No Object,neck_brace,464968565,Product/service,788228,145,False,True,True,True,6635,13032.16667,5.5,464.5833333,331.8541667,0.454539186,44904,9.333333333,933.8333333,0.067078207
1004,CrcmzbOMEcU,GraphImage,khaleejtimes,420,6,telescope,text,No Object,No Object,No Object,No Object,comic_book,464968565,Product/service,788228,145,False,True,True,True,6635,13032.16667,5.5,464.5833333,331.8541667,0.454539186,44904,9.333333333,933.8333333,0.067078207
1005,CrbUni3v5mo,GraphImage,khaleejtimes,2518,24,airplane,text,No Object,No Object,No Object,No Object,airliner,464968565,Product/service,788228,145,False,True,True,True,6635,13032.16667,5.5,464.5833333,331.8541667,0.454539186,44904,9.333333333,933.8333333,0.067078207
1006,CrbMagIBTPl,GraphImage,khaleejtimes,589,7,planet,text,No Object,No Object,No Object,No Object,balloon,464968565,Product/service,788228,145,False,True,True,True,6635,13032.16667,5.5,464.5833333,331.8541667,0.454539186,44904,9.333333333,933.8333333,0.067078207
1007,CrDERAXg2aB,GraphImage,thetinderblog,372031,6249,1 person,chow mein,text,No Object,No Object,No Object,"web_site, website, internet_site, site",1450207972,Just for fun,4177234,1279,False,False,True,False,2549,1266187.333,237.4166667,27603.66667,0.602666667,4.009988426,41614,658.6666667,47081.83333,-0.464390626
1008,CrciHnKOiQy,GraphImage,thetinderblog,2555,46,3 people,french fries,text,No Object,No Object,No Object,"web_site, website, internet_site, site",1450207972,Just for fun,4177234,1279,False,False,True,False,2549,1266187.333,237.4166667,27603.66667,0.602666667,4.009988426,41614,658.6666667,47081.83333,-0.464390626
1009,CrcWnBsuGrh,GraphImage,thetinderblog,5999,60,1 person,salami,text,No Object,No Object,No Object,"web_site, website, internet_site, site",1450207972,Just for fun,4177234,1279,False,False,True,False,2549,1266187.333,237.4166667,27603.66667,0.602666667,4.009988426,41614,658.6666667,47081.83333,-0.464390626
1010,CrcRKZ4L9I_,GraphImage,thetinderblog,6886,103,onion,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",1450207972,Just for fun,4177234,1279,False,False,True,False,2549,1266187.333,237.4166667,27603.66667,0.602666667,4.009988426,41614,658.6666667,47081.83333,-0.464390626
1011,CrcLgjfJsZA,GraphImage,thetinderblog,8194,347,1 person,money,text,No Object,No Object,No Object,"web_site, website, internet_site, site",1450207972,Just for fun,4177234,1279,False,False,True,False,2549,1266187.333,237.4166667,27603.66667,0.602666667,4.009988426,41614,658.6666667,47081.83333,-0.464390626
1012,CrcHqIOLJaW,GraphImage,thetinderblog,5827,50,1 person,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",1450207972,Just for fun,4177234,1279,False,False,True,False,2549,1266187.333,237.4166667,27603.66667,0.602666667,4.009988426,41614,658.6666667,47081.83333,-0.464390626
1013,CrcAwkZLcwe,GraphImage,thetinderblog,8285,97,1 person,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",1450207972,Just for fun,4177234,1279,False,False,True,False,2549,1266187.333,237.4166667,27603.66667,0.602666667,4.009988426,41614,658.6666667,47081.83333,-0.464390626
1014,CrcAfieP0Nz,GraphImage,thetinderblog,9084,42,1 person,chihuahua,collie,text,No Object,No Object,Great_Dane,1450207972,Just for fun,4177234,1279,False,False,True,False,2549,1266187.333,237.4166667,27603.66667,0.602666667,4.009988426,41614,658.6666667,47081.83333,-0.464390626
1015,Crb26NMveGI,GraphImage,thetinderblog,12747,89,french fries,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",1450207972,Just for fun,4177234,1279,False,False,True,False,2549,1266187.333,237.4166667,27603.66667,0.602666667,4.009988426,41614,658.6666667,47081.83333,-0.464390626
1016,CrdHX8AvWYm,GraphSidecar,jktinfo,395,0,1 person,speaker,microphone,No Object,No Object,No Object,"parallel_bars, bars",3054105643,Media/news company,3302822,460,False,False,True,False,3191,875838.0833,2127.083333,54750.25,24.82766667,4.110294725,37431,233.1666667,11107.91667,0.030139963
1017,CrdFVo2PRU-,GraphSidecar,jktinfo,3009,19,2 people,text,No Object,No Object,No Object,No Object,"lumbermill, sawmill",3054105643,Media/news company,3302822,460,False,False,True,False,3191,875838.0833,2127.083333,54750.25,24.82766667,4.110294725,37431,233.1666667,11107.91667,0.030139963
1018,CrdEILXPMJC,GraphImage,jktinfo,15618,238,10 people,scooter,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",3054105643,Media/news company,3302822,460,False,False,True,False,3191,875838.0833,2127.083333,54750.25,24.82766667,4.110294725,37431,233.1666667,11107.91667,0.030139963
1019,CrcdCjdv_cC,GraphImage,jktinfo,4369,78,4 people,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",3054105643,Media/news company,3302822,460,False,False,True,False,3191,875838.0833,2127.083333,54750.25,24.82766667,4.110294725,37431,233.1666667,11107.91667,0.030139963
1020,CrcQvTivgiy,GraphImage,jktinfo,57577,1167,one or more people,text,No Object,No Object,No Object,No Object,"book_jacket, dust_cover, dust_jacket, dust_wrapper",3054105643,Media/news company,3302822,460,False,False,True,False,3191,875838.0833,2127.083333,54750.25,24.82766667,4.110294725,37431,233.1666667,11107.91667,0.030139963
1021,Crc-jWCKe67,GraphImage,routineofnepalbanda,4194,24,2 people,dais,text,No Object,No Object,No Object,"lab_coat, laboratory_coat",3910607774,News & media website,1282243,2,False,True,True,False,33,213212.4167,166.25,25296.66667,91.558,5.282994708,43782,60.75,16897.25,0.022024635
1022,Crc7q0hKYHG,GraphImage,routineofnepalbanda,15565,20,fire,eclipse,No Object,No Object,No Object,No Object,"television, television_system",3910607774,News & media website,1282243,2,False,True,True,False,33,213212.4167,166.25,25296.66667,91.558,5.282994708,43782,60.75,16897.25,0.022024635
1023,Crc5MhMKzLR,GraphImage,routineofnepalbanda,10546,73,3 people,people st,ing and plant,No Object,No Object,No Object,"prison, prison_house",3910607774,News & media website,1282243,2,False,True,True,False,33,213212.4167,166.25,25296.66667,91.558,5.282994708,43782,60.75,16897.25,0.022024635
1024,Crc09lxKpXm,GraphImage,routineofnepalbanda,15381,25,jacar,a and tower,No Object,No Object,No Object,No Object,"beacon, lighthouse, beacon_light, pharos",3910607774,News & media website,1282243,2,False,True,True,False,33,213212.4167,166.25,25296.66667,91.558,5.282994708,43782,60.75,16897.25,0.022024635
1025,CrcwGXCq0DY,GraphImage,routineofnepalbanda,12971,8,4 people,lantern,temple,No Object,No Object,No Object,"cab, hack, taxi, taxicab",3910607774,News & media website,1282243,2,False,True,True,False,33,213212.4167,166.25,25296.66667,91.558,5.282994708,43782,60.75,16897.25,0.022024635
1026,Crct6LIqnBB,GraphImage,routineofnepalbanda,8952,30,3 people,flag,No Object,No Object,No Object,No Object,sunglass,3910607774,News & media website,1282243,2,False,True,True,False,33,213212.4167,166.25,25296.66667,91.558,5.282994708,43782,60.75,16897.25,0.022024635
1027,CrchQreq04D,GraphImage,routineofnepalbanda,18960,96,2 people,beard,people smiling,outdoors,No Object,No Object,"suit, suit_of_clothes",3910607774,News & media website,1282243,2,False,True,True,False,33,213212.4167,166.25,25296.66667,91.558,5.282994708,43782,60.75,16897.25,0.022024635
1028,CrcfP-BK0fS,GraphImage,routineofnepalbanda,16298,52,1 person,beard,turban,dinner jacket,No Object,No Object,Windsor_tie,3910607774,News & media website,1282243,2,False,True,True,False,33,213212.4167,166.25,25296.66667,91.558,5.282994708,43782,60.75,16897.25,0.022024635
